City,State,Type,Counties,Population,Latitude,Longitude
Westfield Center,OH,Village,Medina,1184,41.028,-81.931
Benavides,TX,City,Duval,1183,27.598,-98.41
Bradford Woods,PA,Borough,Allegheny,1183,40.637,-80.081
Granger,TX,City,Williamson,1183,30.718,-97.441
Ridgway,CO,Town,Ouray,1183,38.159,-107.753
Colfax,WI,Village,Dunn,1182,44.998,-91.727
Fanning Springs,FL,City,Levy;Gilchrist,1182,29.587,-82.933
Warren,IN,Town,Huntington,1182,40.688,-85.425
Winhall,VT,Town,Bennington,1182,43.162,-72.934
Central High,OK,Town,Stephens,1181,34.614,-98.089
Hampton,AR,City,Calhoun,1181,33.536,-92.466
Blue Ridge,TX,City,Collin,1180,33.298,-96.398
Newark,AR,City,Independence,1180,35.708,-91.443
Beggs,OK,City,Okmulgee,1179,35.781,-96.023
Blades,DE,Town,Sussex,1179,38.635,-75.602
Whitaker,PA,Borough,Allegheny,1179,40.401,-79.885
Cape Charles,VA,Town,Northampton,1178,37.249,-76.004
Edinburg,VA,Town,Shenandoah,1178,38.823,-78.563
Leadwood,MO,City,St. Francois,1178,37.862,-90.589
Mooreland,OK,Town,Woodward,1178,36.438,-99.204
Prosperity,SC,Town,Newberry,1178,34.213,-81.528
Yellville,AR,City,Marion,1178,36.229,-92.686
Killian,LA,Town,Livingston,1177,30.353,-90.581
Macon,IL,City,Macon,1177,39.711,-88.996
Trappe,MD,Town,Talbot,1177,38.663,-76.053
Vernon,NY,Village,Oneida,1177,43.079,-75.539
Buffalo,IA,City,Scott,1176,41.461,-90.769
Tye,TX,City,Taylor,1176,32.452,-99.867
La Harpe,IL,City,Hancock,1175,40.585,-90.97
Cave Spring,GA,City,Floyd,1174,34.105,-85.34
Hallstead,PA,Borough,Susquehanna,1174,41.962,-75.747
Von Ormy,TX,City,Bexar,1174,29.277,-98.657
Bellerose,NY,Village,Nassau,1173,40.724,-73.717
Elwood,UT,Town,Box Elder,1173,41.673,-112.137
Hazel Green,WI,Village,Grant;Lafayette,1173,42.534,-90.436
Oyster Creek,TX,City,Brazoria,1173,28.998,-95.329
Shullsburg,WI,City,Lafayette,1173,42.573,-90.232
Drain,OR,City,Douglas,1172,43.662,-123.314
Houston,PA,Borough,Washington,1172,40.249,-80.211
Pine Bluffs,WY,Town,Laramie,1172,41.18,-104.069
Wood River,NE,City,Hall,1172,40.821,-98.6
Dellwood,MN,City,Washington,1171,45.099,-92.968
Discovery Harbour,HI,Census-Designated Place,Hawaii,1171,19.042,-155.625
Florence,TX,City,Williamson,1171,30.841,-97.793
Lincoln Center,KS,City,Lincoln,1171,39.043,-98.147
Mount Gilead,NC,Town,Montgomery,1171,35.216,-80.003
Petersburg,MI,City,Monroe,1171,41.899,-83.714
Champlain,NY,Village,Clinton,1170,44.988,-73.435
Frisco City,AL,Town,Monroe,1170,31.439,-87.404
Haven,KS,City,Reno,1170,37.902,-97.782
Kinderhook,NY,Village,Columbia,1170,42.394,-73.704
Belle,WV,Town,Kanawha,1169,38.235,-81.537
Lapwai,ID,City,Nez Perce,1169,46.404,-116.804
Nunda,NY,Village,Livingston,1169,42.58,-77.938
Onancock,VA,Town,Accomack,1169,37.71,-75.744
Bowling Green,VA,Town,Caroline,1168,38.053,-77.348
Ogden Dunes,IN,Town,Porter,1168,41.628,-87.194
Robbins,NC,Town,Moore,1168,35.431,-79.584
Lake Park,IA,City,Dickinson,1167,43.447,-95.325
Rochelle,GA,City,Wilcox,1167,31.949,-83.457
Boise City,OK,City,Cimarron,1166,36.731,-102.511
Papaikou,HI,Census-Designated Place,Hawaii,1166,19.792,-155.094
Waitsburg,WA,City,Walla Walla,1166,46.27,-118.15
White Haven,PA,Borough,Luzerne,1166,41.059,-75.785
Factoryville,PA,Borough,Wyoming,1165,41.56,-75.782
Gueydan,LA,Town,Vermilion,1165,30.029,-92.507
Mapleton,IA,City,Monona,1165,42.167,-95.79
Orange Grove,TX,City,Jim Wells,1165,27.956,-97.939
Oxford,IN,Town,Benton,1165,40.522,-87.248
Ryegate,VT,Town,Caledonia,1165,44.221,-72.114
Roseboro,NC,Town,Sampson,1163,34.954,-78.512
Rutherford,TN,Town,Gibson,1163,36.126,-88.993
Leetsdale,PA,Borough,Allegheny,1162,40.569,-80.217
North Haven,NY,Village,Suffolk,1162,41.023,-72.314
Bayboro,NC,Town,Pamlico,1161,35.149,-76.769
Converse,IN,Town,Miami;Grant,1161,40.579,-85.874
Kaanapali,HI,Census-Designated Place,Maui,1161,20.931,-156.686
Paris,MO,City,Monroe,1161,39.477,-92.004
St Anne,IL,Village,Kankakee,1161,41.023,-87.72
Toledo,IL,Village,Cumberland,1161,39.272,-88.242
Ansonia,OH,Village,Darke,1160,40.214,-84.634
Bridgewater,NH,Town,Grafton,1160,43.671,-71.686
Fayette,ME,Town,Kennebec,1160,44.437,-70.072
Lemmon,SD,City,Perkins,1160,45.938,-102.159
St Ansgar,IA,City,Mitchell,1160,43.38,-92.918
Ucon,ID,City,Bonneville,1160,43.594,-111.959
Cashton,WI,Village,Monroe,1158,43.74,-90.789
Geronimo,OK,Town,Comanche,1158,34.485,-98.389
Milford,IL,Village,Iroquois,1158,40.628,-87.696
Brighton,VT,Town,Essex,1157,44.802,-71.867
Ohatchee,AL,Town,Calhoun,1157,33.783,-86.011
Sandoval,IL,Village,Marion,1157,38.612,-89.119
Deadwood,SD,City,Lawrence,1156,44.381,-103.724
Mission,SD,City,Todd,1156,43.306,-100.661
Point Marion,PA,Borough,Fayette,1156,39.736,-79.901
Assumption,IL,City,Christian,1155,39.518,-89.048
Botkins,OH,Village,Shelby,1155,40.452,-84.179
Cripple Creek,CO,City,Teller,1155,38.746,-105.184
Franklin Springs,GA,City,Franklin,1155,34.283,-83.146
Strawberry Point,IA,City,Clayton,1155,42.68,-91.535
Frederic,WI,Village,Polk,1154,45.653,-92.463
Joseph,OR,City,Wallowa,1154,45.353,-117.23
Minier,IL,Village,Tazewell,1154,40.433,-89.314
Silver Grove,KY,City,Campbell,1154,39.04,-84.401
Springville,IA,City,Linn,1154,42.052,-91.447
Pembroke,VA,Town,Giles,1152,37.322,-80.636
Glidden,IA,City,Carroll,1151,42.058,-94.727
McConnellsburg,PA,Borough,Fulton,1151,39.932,-77.996
Waldo,AR,City,Columbia,1151,33.353,-93.295
Fern Forest,HI,Census-Designated Place,Hawaii,1150,19.465,-155.132
Taos,MO,City,Cole,1150,38.496,-92.079
Cottonwood,MN,City,Lyon,1149,44.611,-95.672
McCaysville,GA,City,Fannin,1149,34.982,-84.371
Mendon,VT,Town,Rutland,1149,43.638,-72.901
Addison,ME,Town,Washington,1148,44.598,-67.694
Clark,SD,City,Clark,1148,44.881,-97.735
Rome,ME,Town,Kennebec,1148,44.582,-69.901
Sister Bay,WI,Village,Door,1148,45.187,-87.129
Taylorsville,MS,Town,Smith,1148,31.832,-89.434
Creighton,NE,City,Knox,1147,42.465,-97.907
Langley,WA,City,Island,1147,48.034,-122.408
Laupahoehoe,HI,Census-Designated Place,Hawaii,1147,19.976,-155.237
Lincolnville,SC,Town,Charleston;Dorchester,1147,33.008,-80.156
Stevensville,MI,Village,Berrien,1147,42.014,-86.525
Wainaku,HI,Census-Designated Place,Hawaii,1147,19.745,-155.098
Yamhill,OR,City,Yamhill,1147,45.341,-123.185
Kempner,TX,City,Lampasas,1146,31.075,-97.972
Port Orford,OR,City,Curry,1146,42.749,-124.498
Beaverton,MI,City,Gladwin,1145,43.881,-84.488
Nelson,GA,City,Cherokee;Pickens,1145,34.38,-84.372
Norris City,IL,Village,White,1145,37.978,-88.328
Island City,OR,City,Union,1144,45.336,-118.049
Lincoln,MO,City,Benton,1144,38.394,-93.331
Otterbein,IN,Town,Benton;Tippecanoe,1144,40.489,-87.094
Calverton Park,MO,City,St. Louis,1143,38.766,-90.31
Malta,IL,Village,DeKalb,1143,41.929,-88.866
Nicollet,MN,City,Nicollet,1143,44.274,-94.188
Stromsburg,NE,City,Polk,1143,41.116,-97.591
Thomas,OK,City,Custer,1143,35.748,-98.749
Friendship,ME,Town,Knox,1142,44.025,-69.301
Newburg,WI,Village,Washington;Ozaukee,1142,43.432,-88.048
Resaca,GA,Town,Gordon,1142,34.579,-84.944
Shafer,MN,City,Chisago,1142,45.39,-92.751
Tioga,TX,Town,Grayson,1142,33.47,-96.919
China Grove,TX,Town,Bexar,1141,29.393,-98.346
Concord,VT,Town,Essex,1141,44.433,-71.842
Okarche,OK,Town,Canadian;Kingfisher,1141,35.721,-97.975
Archer,FL,City,Alachua,1140,29.54,-82.513
Bayard,NE,City,Morrill,1140,41.757,-103.323
Bronson,FL,Town,Levy,1140,29.449,-82.638
Brownville,ME,Town,Piscataquis,1139,45.359,-69.009
Divernon,IL,Village,Sangamon,1139,39.57,-89.654
Leilani Estates,HI,Census-Designated Place,Hawaii,1139,19.466,-154.916
Royalton,PA,Borough,Dauphin,1138,40.186,-76.724
Tyler,MN,City,Lincoln,1138,44.279,-96.135
Ash Flat,AR,City,Sharp;Fulton,1137,36.236,-91.607
Eustace,TX,City,Henderson,1137,32.308,-96.014
Oolitic,IN,Town,Lawrence,1137,38.892,-86.525
Fairfax,OK,Town,Osage,1136,36.57,-96.708
Louisville,IL,Village,Clay,1136,38.77,-88.506
Lyndonville,VT,Village,Caledonia,1136,44.535,-72.001
Penobscot,ME,Town,Hancock,1136,44.488,-68.684
Reeds Spring,MO,City,Stone,1136,36.739,-93.381
Caledonia,MS,Town,Lowndes,1135,33.684,-88.326
Wetumka,OK,City,Hughes,1135,35.242,-96.237
Dimondale,MI,Village,Eaton,1134,42.651,-84.645
Oquawka,IL,Village,Henderson,1134,40.938,-90.95
Waterville,WA,Town,Douglas,1134,47.648,-120.071
Yarrow Point,WA,Town,King,1134,47.645,-122.218
Aurora,OR,City,Marion,1133,45.228,-122.757
Blue Mound,IL,Village,Macon,1133,39.701,-89.119
Caraway,AR,City,Craighead,1133,35.759,-90.322
Villisca,IA,City,Montgomery,1132,40.93,-94.982
Ballard,UT,Town,Uintah,1131,40.295,-109.95
Middleburgh,NY,Village,Schoharie,1131,42.598,-74.33
Gruver,TX,City,Hansford,1130,36.26,-101.407
Guernsey,WY,Town,Platte,1130,42.265,-104.743
Sheffield,IA,City,Franklin,1130,42.889,-93.207
Sophia,WV,Town,Raleigh,1130,37.707,-81.254
Culver,IN,Town,Marshall,1129,41.217,-86.423
Glenville,WV,Town,Gilmer,1129,38.94,-80.833
Kemp,TX,City,Kaufman,1129,32.432,-96.219
Stanberry,MO,City,Gentry,1129,40.217,-94.538
Steuben,ME,Town,Washington,1129,44.516,-67.935
Victoria,KS,City,Ellis,1129,38.853,-99.147
Wayne,ME,Town,Kennebec,1129,44.345,-70.062
Bull Valley,IL,Village,McHenry,1128,42.323,-88.361
Grand Meadow,MN,City,Mower,1127,43.706,-92.57
Hildale,UT,City,Washington,1127,37.006,-113.002
Sibley,LA,Town,Webster,1127,32.543,-93.294
South Bristol,ME,Town,Lincoln,1127,43.945,-69.552
Frankston,TX,Town,Anderson;Henderson,1126,32.057,-95.505
Akron,IN,Town,Fulton,1125,41.039,-86.025
Calmar,IA,City,Winneshiek,1125,43.181,-91.868
Canton,ME,Town,Oxford,1125,44.471,-70.305
Ellendale,ND,City,Dickey,1125,46.005,-98.525
Elwood,KS,City,Doniphan,1125,39.754,-94.884
Mount Hope,WV,City,Fayette,1125,37.892,-81.162
Atwater,MN,City,Kandiyohi,1124,45.135,-94.777
Bingham Farms,MI,Village,Oakland,1124,42.518,-83.278
East Bangor,PA,Borough,Northampton,1124,40.881,-75.188
Wurtsboro,NY,Village,Sullivan,1124,41.576,-74.486
Lake Nebagamon,WI,Village,Douglas,1123,46.5,-91.703
Prospect,PA,Borough,Butler,1123,40.899,-80.049
Strong,ME,Town,Franklin,1122,44.804,-70.214
Albers,IL,Village,Clinton,1121,38.545,-89.614
Camp Point,IL,Village,Adams,1121,40.038,-91.066
Mantachie,MS,Town,Itawamba,1121,34.321,-88.503
Sterling City,TX,City,Sterling,1121,31.839,-100.986
Carson City,MI,City,Montcalm,1120,43.182,-84.845
Cloverport,KY,City,Breckinridge,1119,37.831,-86.63
Double Springs,AL,Town,Winston,1119,34.15,-87.402
Rio,WI,Village,Columbia,1119,43.451,-89.242
Cochranton,PA,Borough,Crawford,1118,41.519,-80.047
Como,MS,Town,Panola,1118,34.514,-89.94
Georgetown,CO,Town,Clear Creek,1118,39.717,-105.696
Halifax,VA,Town,Halifax,1118,36.761,-78.928
Lempster,NH,Town,Sullivan,1118,43.226,-72.185
Martinsville,IL,City,Clark,1118,39.338,-87.881
Altamont,TN,Town,Grundy,1117,35.433,-85.743
Amherst,WI,Village,Portage,1117,44.448,-89.282
Brodhead,KY,City,Rockcastle,1117,37.407,-84.417
Cando,ND,City,Towner,1117,48.487,-99.203
Dane,WI,Village,Dane,1117,43.246,-89.5
Hagaman,NY,Village,Montgomery,1117,42.971,-74.16
Kamiah,ID,City,Idaho;Lewis,1117,46.227,-116.028
Aplington,IA,City,Butler,1116,42.582,-92.884
Atwood,IL,Village,Piatt;Douglas,1116,39.799,-88.463
Beulaville,NC,Town,Duplin,1116,34.923,-77.771
Elgin,MN,City,Wabasha,1115,44.122,-92.246
Pender,NE,Village,Thurston,1115,42.111,-96.712
Sperry,OK,Town,Tulsa;Osage,1115,36.298,-95.991
Sykesville,PA,Borough,Jefferson,1115,41.045,-78.811
Wendover,UT,City,Tooele,1115,40.724,-114.025
Glover,VT,Town,Orleans,1114,44.684,-72.231
Hebron,MD,Town,Wicomico,1113,38.424,-75.687
Lake View,IA,City,Sac,1113,42.302,-95.036
Rogers,TX,Town,Bell,1113,30.929,-97.23
Wanamingo,MN,City,Goodhue,1113,44.303,-92.787
Christiana,PA,Borough,Lancaster,1112,39.955,-75.997
Grabill,IN,Town,Allen,1112,41.21,-84.968
Kenbridge,VA,Town,Lunenburg,1112,36.961,-78.128
Spicer,MN,City,Kandiyohi,1112,45.235,-94.94
Westfield,PA,Borough,Tioga,1112,41.918,-77.541
Fairbank,IA,City,Fayette;Buchanan,1111,42.64,-92.048
Harris,MN,City,Chisago,1111,45.597,-92.989
Mantorville,MN,City,Dodge,1111,44.066,-92.754
Third Lake,IL,Village,Lake,1111,42.37,-88.009
Arnolds Park,IA,City,Dickinson,1110,43.366,-95.126
Malvern,OH,Village,Carroll,1110,40.69,-81.182
Oskaloosa,KS,City,Jefferson,1110,39.216,-95.314
Vardaman,MS,Town,Calhoun,1110,33.882,-89.178
Warrensburg,IL,Village,Macon,1110,39.932,-89.062
Colchester,IL,City,McDonough,1108,40.427,-90.792
Fort Calhoun,NE,City,Washington,1108,41.456,-96.026
Kingston,IL,Village,DeKalb,1108,42.101,-88.763
Liberty Center,OH,Village,Henry,1108,41.444,-84.008
New Vienna,OH,Village,Clinton,1108,39.326,-83.693
Ore City,TX,City,Upshur,1108,32.801,-94.717
Rehoboth Beach,DE,City,Sussex,1108,38.717,-75.081
South Corning,NY,Village,Steuben,1108,42.126,-77.036
Cherryfield,ME,Town,Washington,1107,44.643,-67.946
Shelburn,IN,Town,Sullivan,1107,39.179,-87.397
Fairland,OK,Town,Ottawa,1106,36.752,-94.847
Plains,MT,Town,Sanders,1106,47.46,-114.885
Tiki Island,TX,Village,Galveston,1106,29.297,-94.915
Grass Lake,MI,Village,Jackson,1105,42.251,-84.206
Rossville,KS,City,Shawnee,1105,39.135,-95.949
Big Rock,IL,Village,Kane,1104,41.767,-88.526
Chatom,AL,Town,Washington,1104,31.469,-88.246
Cole Camp,MO,City,Benton,1104,38.46,-93.202
Gettysburg,SD,City,Potter,1104,45.006,-99.954
Lovell,ME,Town,Oxford,1104,44.192,-70.884
Oak Grove Heights,AR,Town,Greene,1104,36.127,-90.504
Fruitport,MI,Village,Muskegon,1103,43.126,-86.156
Milford,PA,Borough,Pike,1103,41.324,-74.801
Nassau,NY,Village,Rensselaer,1103,42.514,-73.611
Shinglehouse,PA,Borough,Potter,1103,41.967,-78.19
Tonasket,WA,City,Okanogan,1103,48.709,-119.443
Continental,OH,Village,Putnam,1102,41.099,-84.27
Greenback,TN,City,Loudon,1102,35.649,-84.166
Hustisford,WI,Village,Dodge,1101,43.344,-88.609
Port Byron,NY,Village,Cayuga,1101,43.037,-76.625
Port Republic,NJ,City,Atlantic,1101,39.534,-74.477
Thompson,ND,City,Grand Forks,1101,47.775,-97.104
Boyceville,WI,Village,Dunn,1100,45.043,-92.039
Coventry,VT,Town,Orleans,1100,44.889,-72.243
Eden,TX,City,Concho,1100,31.216,-99.844
Redkey,IN,Town,Jay,1100,40.348,-85.152
Clear Lake,WI,Village,Polk,1099,45.251,-92.269
Rochester,VT,Town,Windsor,1099,43.88,-72.792
Central City,IL,Village,Marion,1098,38.548,-89.128
Philadelphia,NY,Village,Jefferson,1098,44.154,-75.71
Ship Bottom,NJ,Borough,Ocean,1098,39.645,-74.183
Young Harris,GA,City,Towns,1098,34.936,-83.847
Griggsville,IL,City,Pike,1097,39.708,-90.727
Pierce,CO,Town,Weld,1097,40.634,-104.755
Albany,WI,Village,Green,1096,42.707,-89.437
Augusta,KY,City,Bracken,1096,38.773,-84
Burnham,ME,Town,Waldo,1096,44.688,-69.369
Newark,TX,City,Wise;Tarrant,1096,33.014,-97.488
North Branch,MI,Village,Lapeer,1096,43.229,-83.191
Shrewsbury,VT,Town,Rutland,1096,43.529,-72.858
Worden,IL,Village,Madison,1096,38.931,-89.84
Greenup,KY,City,Greenup,1095,38.573,-82.829
Maysville,MO,City,DeKalb,1095,39.886,-94.369
Monterey,MA,Town,Berkshire,1095,42.184,-73.214
Howland,ME,Town,Penobscot,1094,45.263,-68.694
Ostrander,OH,Village,Delaware,1094,40.264,-83.216
Raleigh,MS,Town,Smith,1094,32.035,-89.526
Reading,MI,City,Hillsdale,1094,41.84,-84.748
Strafford,VT,Town,Orange,1094,43.869,-72.367
Conrad,IA,City,Grundy,1093,42.224,-92.874
Crivitz,WI,Village,Marinette,1093,45.234,-88.007
Knox,PA,Borough,Clarion,1093,41.234,-79.536
Luck,WI,Village,Polk,1093,45.577,-92.463
Milesburg,PA,Borough,Centre,1093,40.942,-77.792
Satanta,KS,City,Haskell,1092,37.438,-100.988
Truman,MN,City,Martin,1092,43.828,-94.437
Valley Falls,KS,City,Jefferson,1092,39.339,-95.461
Woodsboro,MD,Town,Frederick,1092,39.534,-77.31
Boley,OK,Town,Okfuskee,1091,35.49,-96.48
Panora,IA,City,Guthrie,1091,41.691,-94.364
Brookneal,VA,Town,Campbell,1090,37.052,-78.952
Mantua,UT,Town,Box Elder,1090,41.498,-111.936
Okeene,OK,Town,Blaine,1090,36.117,-98.316
Bevil Oaks,TX,City,Jefferson,1089,30.151,-94.271
Danvers,IL,Village,McLean,1089,40.53,-89.175
Speers,PA,Borough,Washington,1088,40.121,-79.879
Burwell,NE,City,Garfield,1087,41.78,-99.134
Cut and Shoot,TX,City,Montgomery,1087,30.335,-95.345
Glasgow,MO,City,Howard;Chariton,1087,39.228,-92.84
Glenmora,LA,Town,Rapides,1087,30.973,-92.582
Ilwaco,WA,City,Pacific,1087,46.313,-124.027
Maysville,OK,Town,Garvin;McClain,1087,34.865,-97.374
Thornville,OH,Village,Perry,1087,39.894,-82.412
Conway Springs,KS,City,Sumner,1086,37.39,-97.644
Hansen,ID,City,Twin Falls,1086,42.531,-114.301
Velva,ND,City,McHenry,1086,48.057,-100.931
Concord,MI,Village,Jackson,1085,42.177,-84.645
Edinburg,IL,Village,Christian,1085,39.658,-89.39
Mineral Springs,AR,City,Howard,1085,33.876,-93.921
Salina,OK,Town,Mayes,1085,36.29,-95.153
Billings,MO,City,Christian,1084,37.062,-93.554
Frankfort,OH,Village,Ross,1084,39.403,-83.178
Memphis,MI,City,St. Clair;Macomb,1084,42.895,-82.769
Naches,WA,Town,Yakima,1084,46.727,-120.694
Walnut Creek,NC,Village,Wayne,1084,35.309,-77.868
Franconia,NH,Town,Grafton,1083,44.174,-71.628
Sardinia,OH,Village,Highland;Brown,1083,39.009,-83.801
Bennet,NE,Village,Lancaster,1082,40.682,-96.504
Dortches,NC,Town,Nash,1082,36.011,-77.857
East Conemaugh,PA,Borough,Cambria,1082,40.348,-78.886
Ellport,PA,Borough,Lawrence,1082,40.862,-80.262
Lakeside City,TX,Town,Archer,1082,33.832,-98.545
Ladoga,IN,Town,Montgomery,1081,39.917,-86.799
Morocco,IN,Town,Newton,1081,40.944,-87.45
Canaan,CT,Town,Litchfield,1080,41.958,-73.311
Henderson,NE,City,York,1080,40.779,-97.811
Yemassee,SC,Town,Hampton;Beaufort,1080,32.693,-80.855
Marcus,IA,City,Cherokee,1079,42.822,-95.807
Poultney,VT,Village,Rutland,1079,43.518,-73.236
Windsor,IL,City,Shelby,1079,39.439,-88.595
Jamaica Beach,TX,City,Galveston,1078,29.192,-94.98
Plymouth,CA,City,Amador,1078,38.478,-120.841
Bath,NH,Town,Grafton,1077,44.184,-71.988
George,IA,City,Lyon,1077,43.343,-96.004
La Vernia,TX,City,Wilson,1077,29.353,-98.126
LaCoste,TX,City,Medina,1077,29.31,-98.811
Pine Island,TX,Town,Waller,1077,30.054,-96.028
Bessemer,PA,Borough,Lawrence,1076,40.977,-80.489
Craig Beach,OH,Village,Mahoning,1076,41.116,-80.982
Mammoth,AZ,Town,Pinal,1076,32.723,-110.645
Shrewsbury,NJ,Township,Monmouth,1076,40.314,-74.071
Strum,WI,Village,Trempealeau,1076,44.553,-91.388
Holland,TX,Town,Bell,1075,30.889,-97.401
Stillman Valley,IL,Village,Ogle,1075,42.104,-89.18
Sweetser,IN,Town,Grant,1075,40.569,-85.765
Union Springs,NY,Village,Cayuga,1075,42.847,-76.688
Bogata,TX,City,Red River,1074,33.47,-95.214
Cobden,IL,Village,Union,1074,37.533,-89.254
Dexter,NM,Town,Chaves,1074,33.195,-104.369
Haliimaile,HI,Census-Designated Place,Maui,1074,20.865,-156.331
Hettinger,ND,City,Adams,1074,46.004,-102.635
Marcellus,MI,Village,Cass,1074,42.026,-85.811
Frederica,DE,Town,Kent,1073,39.008,-75.466
French Settlement,LA,Village,Livingston,1073,30.332,-90.814
Homer,IL,Village,Champaign,1073,40.033,-87.958
Highlands,NC,Town,Macon;Jackson,1072,35.054,-83.198
Cambridge,NE,City,Furnas,1071,40.284,-100.165
Linton,ND,City,Emmons,1071,46.269,-100.233
Markle,IN,Town,Wells;Huntington,1071,40.827,-85.339
Rockwell,IA,City,Cerro Gordo,1071,42.98,-93.187
Washington,KS,City,Washington,1071,39.817,-97.05
Sidney,IA,City,Fremont,1070,40.746,-95.644
South Waverly,PA,Borough,Bradford,1070,41.994,-76.544
Cedar Bluff,VA,Town,Tazewell,1069,37.087,-81.764
Celoron,NY,Village,Chautauqua,1069,42.105,-79.277
Elk Run Heights,IA,City,Black Hawk,1069,42.464,-92.251
Farmersburg,IN,Town,Sullivan,1069,39.253,-87.381
Lovington,IL,Village,Moultrie,1069,39.714,-88.632
Deer Trail,CO,Town,Arapahoe,1068,39.616,-104.043
Goreville,IL,Village,Johnson,1068,37.551,-88.975
Royalton,IL,Village,Franklin,1068,37.878,-89.114
Prospect,OH,Village,Marion,1067,40.454,-83.185
Roslyn Harbor,NY,Village,Nassau,1067,40.811,-73.641
Ordway,CO,Town,Crowley,1066,38.221,-103.757
South Shore,KY,City,Greenup,1066,38.722,-82.964
Crosby,ND,City,Divide,1065,48.916,-103.297
Eagle,NE,Village,Cass,1065,40.816,-96.433
Knox City,TX,Town,Knox,1065,33.418,-99.816
North English,IA,City,Keokuk;Iowa,1065,41.516,-92.078
Unadilla,NY,Village,Otsego,1065,42.327,-75.315
Dillon,CO,Town,Summit,1064,39.618,-106.04
Ranchester,WY,Town,Sheridan,1064,44.908,-107.166
Paducah,TX,Town,Cottle,1063,34.014,-100.304
Riesel,TX,City,McLennan,1062,31.48,-96.932
Woodbine,GA,City,Camden,1062,30.96,-81.718
Altamont,KS,City,Labette,1061,37.185,-95.292
Holgate,OH,Village,Henry,1061,41.249,-84.129
Pamplico,SC,Town,Florence,1061,33.996,-79.569
Renovo,PA,Borough,Clinton,1061,41.329,-77.742
Broxton,GA,City,Coffee,1060,31.625,-82.887
Columbus,NC,Town,Polk,1060,35.251,-82.209
Riverside,IA,City,Washington,1060,41.483,-91.572
Athens,WI,Village,Marathon,1059,45.035,-90.079
Greenfield,IL,City,Greene,1059,39.344,-90.208
Yale,OK,City,Payne,1059,36.115,-96.701
Enigma,GA,Town,Berrien,1058,31.401,-83.32
Georgetown,ME,Town,Sagadahoc,1058,43.81,-69.751
Greenwood,WI,City,Clark,1058,44.765,-90.599
Little Valley,NY,Village,Cattaraugus,1058,42.249,-78.799
Nickerson,KS,City,Reno,1058,38.149,-98.088
Sherburn,MN,City,Martin,1058,43.655,-94.727
Mauna Loa Estates,HI,Census-Designated Place,Hawaii,1057,19.427,-155.221
Terrytown,NE,City,Scotts Bluff,1057,41.847,-103.671
Tyndall,SD,City,Bon Homme,1057,42.99,-97.864
De Smet,SD,City,Kingsbury,1056,44.386,-97.55
Hughes,AR,City,St. Francis,1056,34.95,-90.469
Lake Shore,MN,City,Cass,1056,46.495,-94.361
Medley,FL,Town,Miami-Dade,1056,25.864,-80.349
Stonington,ME,Town,Hancock,1056,44.168,-68.677
Sunderland,VT,Town,Bennington,1056,43.071,-73.069
Iraan,TX,City,Pecos,1055,30.913,-101.9
Mayo,FL,Town,Lafayette,1055,30.051,-83.177
Ruston,WA,Town,Pierce,1055,47.3,-122.508
Taylors Falls,MN,City,Chisago,1055,45.406,-92.673
Yoe,PA,Borough,York,1055,39.909,-76.637
Mill Neck,NY,Village,Nassau,1054,40.882,-73.559
New Philadelphia,PA,Borough,Schuylkill,1054,40.718,-76.117
Pennsboro,WV,City,Ritchie,1054,39.285,-80.966
Shawneetown,IL,City,Gallatin,1054,37.717,-88.186
St George,KS,City,Pottawatomie,1054,39.192,-96.418
Bellaire,MI,Village,Antrim,1053,44.972,-85.205
Loup City,NE,City,Sherman,1053,41.277,-98.968
Mansfield,AR,City,Scott;Sebastian,1053,35.064,-94.234
Clarks,LA,Village,Caldwell,1052,32.029,-92.141
Frenchville,ME,Town,Aroostook,1052,47.259,-68.426
Glasgow,VA,Town,Rockbridge,1052,37.632,-79.456
Oakfield,WI,Village,Fond du Lac,1052,43.684,-88.549
Town Creek,AL,Town,Lawrence,1052,34.671,-87.408
Carrolltown,PA,Borough,Cambria,1051,40.605,-78.707
Falls City,OR,City,Polk,1051,44.865,-123.438
Rockford,OH,Village,Mercer,1051,40.691,-84.65
La Cygne,KS,City,Linn,1050,38.347,-94.761
Richfield Springs,NY,Village,Otsego,1050,42.854,-74.986
Banner Elk,NC,Town,Avery,1049,36.159,-81.868
Forest Park,OK,Town,Oklahoma,1049,35.51,-97.447
Fremont Hills,MO,City,Christian,1049,37.065,-93.253
St Michaels,MD,Town,Talbot,1049,38.788,-76.223
Andrews,IN,Town,Huntington,1048,40.86,-85.602
Cottonwood,AL,Town,Houston,1048,31.054,-85.3
Marshallville,GA,City,Macon,1048,32.459,-83.94
Orange,VT,Town,Orange,1048,44.156,-72.374
Oxford,KS,City,Sumner,1048,37.275,-97.17
Aurora,SD,Town,Brookings,1047,44.282,-96.687
Bear Creek,AL,Town,Marion,1047,34.256,-87.713
Erie,KS,City,Neosho,1047,37.572,-95.242
Malvern,IA,City,Mills,1046,41.008,-95.586
Lindsay,TX,City,Cooke,1045,33.642,-97.22
Osceola Mills,PA,Borough,Clearfield,1045,40.853,-78.27
Chebanse,IL,Village,Iroquois;Kankakee,1044,41.006,-87.91
Alma,NE,City,Harlan,1043,40.101,-99.366
Delevan,NY,Village,Cattaraugus,1043,42.491,-78.48
Harmony,MN,City,Fillmore,1043,43.554,-92.008
